# command: ./benchmark.py toml experiments/micro-hashing.toml
# constants: num-client-machines=5 client-multiply=100 num-compute-nodes=1 replica-set-size=1 distribution=uniform num-objects=0 objects-per-transaction=1 num-txns=1000 num-shards=1 use-light-replicas=False entries-per-object=1 entry-size=1024 write-chance=0 execution-mode=all-replicas load-balancing-policy=always-add-light-replica workload=hashing num-communities=100 get-thread-chance=90 create-thread-chance=5 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup guard-creation-chance=10 scale-factor=50
# ----------------------------- 
uid, operations-per-object, worker-type, num-clients, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime
231015-200009, 1, lambdastore, 500, 197447.361, 1.893, 1.777, 4.715, 0.0
231015-200038, 1, ol-wasm, 500, 232555.26, 1.287, 0.933, 6.209, 0.0
231015-204112, 1, ol-sock, 500, 11478.645, 41.486, 39.758, 80.531, 0.0
231015-204009, 10, lambdastore, 500, 118550.164, 3.543, 3.464, 6.903, 0.047
231015-204314, 10, ol-wasm, 500, 128597.221, 3.11, 1.909, 16.516, 0.0
231015-204349, 10, ol-sock, 500, 10990.568, 43.425, 41.776, 81.174, 0.0
231015-204555, 100, lambdastore, 500, 21599.453, 23.012, 21.842, 42.313, 0.867
231015-204705, 100, ol-wasm, 500, 22197.419, 21.651, 19.092, 77.877, 0.0
231015-204817, 100, ol-sock, 500, 7964.004, 59.754, 56.689, 112.199, 0.0
231015-205536, 1000, lambdastore, 500, 2259.588, 187.914, 182.237, 327.855, 8.543
231015-205705, 1000, ol-wasm, 500, 2315.547, 231.101, 177.964, 794.271, 0.0
231015-205816, 1000, ol-sock, 500, 1980.839, 122.346, 131.156, 239.142, 0.0
231016-114920, 10000, lambdastore, 500, 227.228, 2029.554, 2121.446, 2547.24, 85.189
231016-115028, 10000, ol-wasm, 500, 234.118, 1813.439, 1134.49, 6924.711, 0.0
231016-115136, 100000, lambdastore, 500, 23.377, 20674.364, 21270.512, 26385.309, 433.9
231016-115906, 100000, ol-wasm, 500, 23.991, 26557.03, 8794.644, 104697.659, 0.0
231016-145717, 1, faasm, 250, 5686.872, 0, 0, 0, 0.0
231016-145846, 10, faasm, 250, 6085.283, 0, 0, 0, 0.0
231016-150041, 100, faasm, 250, 4783.181, 0, 0, 0, 0.0
231016-150237, 1000, faasm, 250, 2015.413, 0, 0, 0, 0.0
231016-155226, 100000, faasm, 250, 25.371, 7726.648, 7158.287, 13152.595, 0.0
231016-155855, 10000, faasm, 250, 254.538, 343.13, 263.53, 765.824, 0.0
231016-233840, 1, openwhisk, 25, 69.258, 31.249, 22.79, 76.257, 0.0
231016-234203, 10, openwhisk, 25, 64.755, 54.295, 59.172, 94.224, 0.0
231016-234550, 100, openwhisk, 25, 61.944, 42.233, 36.728, 100.001, 0.0
231016-234939, 1000, openwhisk, 25, 71.812, 49.556, 37.826, 144.698, 0.0
231016-235319, 10000, openwhisk, 25, 65.68, 145.85, 118.629, 311.859, 0.0
231016-235710, 100000, openwhisk, 25, 20.637, 1114.343, 1048.328, 2123.175, 0.0
240226-231014, 1, apiary, 30, 9318.472, 3.024, 1.242, 39.3, 0.0
240226-231047, 10, apiary, 30, 1472.836, 15.15, 15.204, 35.378, 0.0
240226-231118, 100, apiary, 30, 1187.455, 13.402, 12.826, 23.116, 0.0
240226-231149, 10000, apiary, 30, 206.267, 12.221, 12.654, 14.209, 0.0
