# command: ./benchmark.py --collect-statistics=10.1.1.20 toml experiments/micro-read-write.toml
# constants: workload=read-write num-client-machines=3 replica-set-size=3 distribution=uniform num-objects=10000 transfer-chance=0 objects-per-transaction=1 operations-per-object=5 num-shards=1 num-guards=1 log-loads=True partition-test=False load-balance=-1 use-light-replicas=False entries-per-object=100 entry-size=1024 execution-mode=all-replicas load-balancing-policy=always-migrate num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=50 log-guards=False enable-tracing=False storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup guard-creation-chance=10 scale-factor=50 reuse-vms=True spin=-1 slot-multiplier=4
# ----------------------------- 
uid, client-multiply, write-chance, worker-type, num-clients, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime
240515-213434,40,0, lambdastore,120,54088.846,2.242,1.934,14.328,1637221.174
240515-213511,80,0, lambdastore,240,80378.109,3.794,2.68,55.658,2226476.534
240515-213552,120,0, lambdastore,360,91120.273,5.553,3.52,87.445,2598259.886
240515-213638,160,0, lambdastore,480,101534.765,7.215,4.203,148.424,2860325.152
240515-214404,200,0, lambdastore,600,106265.149,7.539,5.283,108.41,3031680.946
240515-214459,240,0, lambdastore,720,111510.161,8.973,5.663,156.956,3222877.43
240515-214557,280,0, lambdastore,840,116101.254,8.84,6.716,103.904,3342274.524
240515-214659,320,0, lambdastore,960,119181.184,11.22,7.486,197.207,3532097.261
240515-214805,360,0, lambdastore,1080,119484.969,11.402,8.011,167.717,3566285.49
240515-214916,400,0, lambdastore,1200,123760.769,11.272,8.885,28.682,3775741.234
240515-215031,40,100, lambdastore,120,5607.528,21.405,20.382,43.219,223021.788
240515-215144,80,100, lambdastore,240,6433.519,38.433,35.344,98.185,256158.193
240515-215334,120,100, lambdastore,360,6792.242,53.001,48.435,143.549,274197.254
240515-215655,40,0, lambdastore,120,50411.108,3.03,1.968,33.171,1572431.397
240515-215728,80,0, lambdastore,240,76030.275,4.9,2.686,64.841,2105832.831
240515-215805,120,0, lambdastore,360,84913.981,7.034,3.574,103.888,2559847.308
240515-215844,160,0, lambdastore,480,96383.283,7.599,4.167,104.378,2763702.213
240515-215924,200,0, lambdastore,600,102008.928,10.588,4.922,171.165,2995949.736
240515-220006,240,0, lambdastore,720,107882.93,11.04,5.886,161.17,3187713.128
240515-220052,280,0, lambdastore,840,112009.752,11.229,6.485,142.351,3281092.489
240515-220138,320,0, lambdastore,960,115341.061,13.788,7.857,154.869,3454385.912
240515-220226,360,0, lambdastore,1080,118284.185,15.934,8.273,214.546,3570396.442
240515-220315,400,0, lambdastore,1200,119524.522,18.001,8.978,228.734,3693279.747
240515-220408,40,100, lambdastore,120,5455.93,22.018,20.668,41.899,215369.749
240515-220502,80,100, lambdastore,240,6237.14,42.218,37.319,109.037,252864.337
