# command: ./benchmark.py toml experiments/micro-create-objects.toml
# constants: num-client-machines=10 num-compute-nodes=0 replica-set-size=3 distribution=uniform num-objects=1000 transfer-chance=50 objects-per-transaction=1 operations-per-object=1 num-txns=1000 use-light-replicas=False entries-per-object=0 entry-size=0 write-chance=0 execution-mode=all-replicas load-balancing-policy=always-add-light-replica workload=create-objects num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=50 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup worker-type=lambdastore guard-creation-chance=10 scale-factor=50
# ----------------------------- 
uid, client-multiply, num-shards, num-clients, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime
231018-113802, 20, 1, 200, 43138.859, 4.435, 3.795, 27.534, 0.0
231018-113841, 20, 2, 200, 60577.003, 2.587, 2.422, 5.435, 0.0
231018-113918, 20, 3, 200, 68512.854, 2.201, 2.085, 4.295, 0.0
231018-113955, 40, 1, 400, 56757.057, 6.454, 5.977, 16.288, 0.042
231018-114039, 40, 2, 400, 83530.611, 4.167, 3.832, 9.911, 0.0
231018-114120, 40, 3, 400, 105400.424, 3.185, 2.958, 7.405, 0.0
231018-114158, 60, 1, 600, 65499.786, 8.681, 8.416, 14.771, 0.026
231018-114246, 60, 2, 600, 89822.52, 5.932, 5.536, 12.333, 0.02
231018-114329, 60, 3, 600, 128653.34, 3.846, 3.72, 6.355, 0.0
231018-114413, 80, 1, 800, 64057.017, 11.344, 11.559, 17.679, 0.029
231018-114646, 80, 2, 800, 110591.694, 7.103, 6.438, 19.389, 0.025
231018-114731, 80, 3, 800, 144961.858, 5.156, 4.624, 14.447, 0.01
231018-114812, 100, 1, 1000, 75139.239, 13.164, 12.437, 32.191, 0.03
231018-114911, 100, 2, 1000, 120520.004, 8.008, 7.294, 19.88, 0.026
231018-114957, 100, 3, 1000, 160773.148, 5.745, 5.275, 14.64, 0.022
231018-115040, 120, 1, 1200, 83622.172, 14.182, 13.477, 28.594, 0.029
231018-115138, 120, 2, 1200, 117029.238, 9.51, 9.008, 19.538, 0.037
231018-115439, 120, 3, 1200, 168237.503, 6.979, 6.166, 20.734, 0.018
231018-115523, 140, 3, 1400, 174075.458, 7.631, 7.028, 20.112, 0.029
231018-115609, 160, 3, 1600, 177963.274, 8.685, 7.895, 22.043, 0.032
231018-115658, 180, 3, 1800, 190692.966, 9.501, 8.635, 26.074, 0.029
231018-115748, 200, 3, 2000, 198085.995, 10.373, 9.248, 30.748, 0.04
231018-120148, 220, 3, 2200, 187547.711, 11.483, 9.79, 28.087, 0.034
231018-120242, 240, 3, 2400, 208535.954, 10.615, 10.391, 18.338, 0.031
231018-120336, 260, 3, 2600, 188949.766, 13.718, 9.535, 38.131, 0.033
231018-120436, 280, 3, 2800, 215702.92, 12.407, 11.932, 23.771, 0.031
231018-120806, 140, 2, 1400, 130345.856, 10.468, 9.77, 25.688, 0.033
231018-120859, 160, 2, 1600, 139726.145, 11.261, 10.424, 24.503, 0.031
231018-120951, 180, 2, 1800, 141398.229, 11.906, 11.279, 24.043, 0.031
231018-121046, 200, 2, 2000, 152700.791, 12.927, 12.142, 29.292, 0.03
231018-165534, 100, 4, 600, 153388.615, 3.353, 3.122, 7.462, 0.006
231018-165607, 120, 4, 720, 157168.436, 4.074, 3.466, 11.259, 0.017
231018-165641, 140, 4, 840, 175307.75, 4.196, 3.94, 9.552, 0.02
231018-165714, 160, 4, 960, 188095.781, 4.554, 4.211, 11.145, 0.065
231018-165749, 180, 4, 1080, 196306.909, 5.037, 4.584, 13.109, 0.028
231018-165824, 200, 4, 1200, 205707.314, 5.425, 4.89, 14.941, 0.031
231018-165900, 220, 4, 1320, 212349.457, 5.778, 5.306, 15.905, 0.033
231018-165937, 240, 4, 1440, 219199.453, 5.982, 5.576, 13.396, 0.033
231018-170014, 260, 4, 1560, 223381.822, 6.693, 6.052, 19.01, 0.036
231018-170052, 280, 4, 1680, 226952.685, 6.825, 6.433, 14.094, 0.035
231018-170619, 300, 4, 1800, 233619.492, 7.225, 6.812, 17.83, 0.034
231018-170659, 340, 4, 2040, 220131.116, 8.86, 6.866, 25.278, 0.036
231018-170741, 380, 4, 2280, 232421.695, 9.367, 7.792, 23.429, 0.035
231018-170925, 420, 4, 2520, 246999.153, 9.379, 8.578, 20.733, 0.034
231018-171009, 460, 4, 2760, 260408.127, 10.118, 9.538, 25.422, 0.032
231018-171055, 500, 4, 3000, 267061.612, 11.261, 10.154, 31.58, 0.032
231018-171157, 540, 4, 3240, 274048.411, 11.342, 10.56, 29.298, 0.031
231018-171245, 580, 4, 3480, 278938.587, 12.017, 11.298, 28.869, 0.031
