# command: ./benchmark.py toml experiments/object-partitioning.toml
# constants: num-client-machines=5 num-compute-nodes=6 replica-set-size=3 distribution=zipf2 num-objects=1000 transfer-chance=50 objects-per-transaction=1 operations-per-object=5 num-txns=1000 num-shards=1 partition-test=True load-balance=False use-light-replicas=False entries-per-object=100 entry-size=1024 execution-mode=all-replicas load-balancing-policy=always-migrate workload=read-write num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=50 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup scale-factor=50
# ----------------------------- 
uid, client-multiply, write-chance, worker-type, guard-creation-chance, num-clients, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime
231019-093616, 10, 0, lambdastore, 0, 50, 21103.582, 1.709, 1.555, 4.033, 0.202
231019-093754, 10, 50, lambdastore, 0, 50, 817.758, 72.797, 4.93, 1238.646, 0.198
231019-094030, 10, 0, lambdastore, 1, 50, 18190.498, 1.952, 1.843, 3.682, 0.169
231019-094126, 10, 50, lambdastore, 1, 50, 6510.385, 7.972, 3.986, 60.483, 0.163
231019-094224, 10, 0, lambdastore, 2, 50, 19343.622, 1.953, 1.827, 4.05, 0.165
231019-094315, 10, 50, lambdastore, 2, 50, 6424.148, 5.839, 4.168, 26.39, 0.168
231019-094410, 10, 0, lambdastore, 3, 50, 19058.978, 1.91, 1.706, 3.723, 0.152
231019-094458, 10, 50, lambdastore, 3, 50, 6216.463, 6.611, 4.309, 44.467, 0.171
231019-094552, 10, 0, lambdastore, 4, 50, 19521.95, 1.861, 1.711, 3.992, 0.154
231019-094639, 10, 50, lambdastore, 4, 50, 6606.772, 6.91, 3.843, 52.957, 0.171
231019-094730, 10, 0, lambdastore, 5, 50, 21386.496, 1.691, 1.554, 3.65, 0.164
231019-094817, 10, 50, lambdastore, 5, 50, 7530.648, 6.708, 3.611, 47.808, 0.163
231019-094906, 10, 0, lambdastore, 6, 50, 20514.313, 1.817, 1.687, 3.747, 0.155
231019-094951, 10, 50, lambdastore, 6, 50, 7595.257, 5.998, 3.306, 36.033, 0.162
231019-095039, 20, 0, lambdastore, 0, 100, 34203.388, 2.232, 2.072, 4.689, 0.204
231019-095312, 20, 50, lambdastore, 0, 100, 889.891, 112.764, 6.39, 1478.74, 0.203
231019-095937, 20, 0, lambdastore, 1, 100, 31207.701, 2.611, 2.454, 5.094, 0.175
231019-100049, 20, 50, lambdastore, 1, 100, 8926.701, 11.682, 4.159, 118.064, 0.163
231019-100207, 20, 0, lambdastore, 2, 100, 33633.986, 2.229, 2.074, 5.134, 0.163
231019-100308, 20, 50, lambdastore, 2, 100, 7851.405, 12.473, 4.761, 198.507, 0.165
231019-100421, 20, 0, lambdastore, 3, 100, 31881.64, 2.463, 2.319, 4.872, 0.177
231019-100520, 20, 50, lambdastore, 3, 100, 9669.874, 9.052, 3.642, 93.564, 0.161
231019-100625, 20, 0, lambdastore, 4, 100, 33649.385, 2.305, 2.132, 4.998, 0.164
231019-100720, 20, 50, lambdastore, 4, 100, 9601.8, 9.641, 3.992, 126.27, 0.137
231019-100823, 20, 0, lambdastore, 5, 100, 32801.671, 2.443, 2.292, 5.066, 0.146
231019-100919, 20, 50, lambdastore, 5, 100, 10143.979, 9.467, 3.34, 123.261, 0.11
231019-101019, 20, 0, lambdastore, 6, 100, 32855.326, 2.291, 2.146, 4.757, 0.152
231019-101113, 20, 50, lambdastore, 6, 100, 8851.536, 9.926, 4.03, 97.471, 0.128
231019-101214, 30, 0, lambdastore, 0, 150, 45929.892, 2.685, 2.446, 6.373, 0.206
231019-101549, 30, 50, lambdastore, 0, 150, 921.243, 156.367, 6.717, 1979.889, 0.208
231019-102203, 30, 0, lambdastore, 1, 150, 43522.188, 2.69, 2.524, 5.876, 0.161
231019-102319, 30, 50, lambdastore, 1, 150, 10189.391, 16.867, 4.696, 299.668, 0.153
231019-102445, 30, 0, lambdastore, 2, 150, 43095.748, 2.862, 2.68, 6.672, 0.155
231019-102557, 30, 50, lambdastore, 2, 150, 10669.669, 16.237, 4.388, 300.197, 0.119
231019-102715, 30, 0, lambdastore, 3, 150, 44719.034, 2.758, 2.619, 6.191, 0.131
231019-102819, 30, 50, lambdastore, 3, 150, 8732.954, 18.176, 5.244, 285.939, 0.139
231019-102942, 30, 0, lambdastore, 4, 150, 45660.548, 2.625, 2.468, 6.02, 0.077
231019-103043, 30, 50, lambdastore, 4, 150, 10290.077, 13.897, 4.224, 190.188, 0.12
231019-103158, 30, 0, lambdastore, 5, 150, 43877.838, 2.79, 2.604, 6.423, 0.079
231019-103300, 30, 50, lambdastore, 5, 150, 10576.559, 13.424, 4.249, 291.124, 0.08
231019-103412, 30, 0, lambdastore, 6, 150, 46128.444, 2.726, 2.482, 7.492, 0.077
231019-103511, 30, 50, lambdastore, 6, 150, 12045.428, 14.823, 3.196, 339.868, 0.078
231019-103621, 40, 0, lambdastore, 0, 200, 52036.042, 3.259, 3.063, 7.347, 0.2
231019-104119, 40, 50, lambdastore, 0, 200, 897.568, 240.75, 7.696, 2820.505, 0.209
231019-104956, 40, 0, lambdastore, 1, 200, 52194.625, 3.039, 2.816, 7.836, 0.167
231019-105129, 40, 50, lambdastore, 1, 200, 12015.897, 16.041, 4.403, 275.848, 0.142
231019-105308, 40, 0, lambdastore, 2, 200, 54372.723, 3.177, 2.932, 7.961, 0.075
231019-105424, 40, 50, lambdastore, 2, 200, 10919.66, 19.349, 4.36, 381.026, 0.091
231019-105554, 40, 0, lambdastore, 3, 200, 53011.74, 3.13, 2.984, 6.988, 0.083
231019-105706, 40, 50, lambdastore, 3, 200, 8303.332, 21.377, 5.851, 366.122, 0.146
231019-105846, 40, 0, lambdastore, 4, 200, 53800.47, 3.291, 3.06, 8.189, 0.08
231019-105957, 40, 50, lambdastore, 4, 200, 12396.594, 17.171, 3.75, 316.173, 0.08
231019-110118, 40, 0, lambdastore, 5, 200, 53386.55, 3.064, 2.966, 5.788, 0.083
231019-110227, 40, 50, lambdastore, 5, 200, 10934.644, 19.347, 4.598, 350.281, 0.081
231019-110350, 40, 0, lambdastore, 6, 200, 54724.528, 3.046, 2.854, 7.589, 0.083
231019-135659, 40, 50, lambdastore, 6, 200, 8402.649, 27.834, 5.91, 535.158, 0.134
231019-135835, 50, 0, lambdastore, 0, 250, 63342.248, 3.395, 3.166, 8.635, 0.204
231019-140543, 50, 50, lambdastore, 0, 250, 822.97, 288.383, 12.256, 3049.189, 0.21
231019-141751, 50, 0, lambdastore, 1, 250, 58923.638, 3.528, 3.314, 8.087, 0.158
231019-141936, 50, 50, lambdastore, 1, 250, 10648.517, 23.829, 5.152, 459.067, 0.084
231019-142124, 50, 0, lambdastore, 2, 250, 60600.537, 3.645, 3.372, 8.163, 0.084
231019-142248, 50, 50, lambdastore, 2, 250, 10952.659, 25.778, 5.121, 449.764, 0.082
231019-142432, 50, 0, lambdastore, 3, 250, 56066.787, 3.964, 3.55, 9.994, 0.084
231019-142556, 50, 50, lambdastore, 3, 250, 8458.118, 31.981, 6.516, 588.891, 0.133
231019-142755, 50, 0, lambdastore, 4, 250, 59397.413, 3.656, 3.362, 8.887, 0.083
231019-142917, 50, 50, lambdastore, 4, 250, 11136.176, 28.011, 4.854, 529.861, 0.08
231019-143057, 50, 0, lambdastore, 5, 250, 63050.45, 3.369, 3.184, 7.521, 0.142
231019-143224, 50, 50, lambdastore, 5, 250, 8419.279, 29.343, 6.208, 525.065, 0.137
231019-143416, 50, 0, lambdastore, 6, 250, 60089.228, 3.58, 3.359, 9.287, 0.124
231019-143540, 50, 50, lambdastore, 6, 250, 11183.055, 28.185, 4.806, 554.288, 0.081
231019-144544, 60, 0, lambdastore, 0, 300, 68433.321, 3.777, 3.494, 10.6, 0.206
231019-145456, 60, 50, lambdastore, 0, 300, 687.612, 409.603, 17.714, 4561.308, 0.208
231019-151115, 60, 0, lambdastore, 1, 300, 69409.178, 4.027, 3.548, 12.168, 0.081
231019-151300, 60, 50, lambdastore, 1, 300, 11349.973, 29.059, 5.232, 546.686, 0.091
231019-151507, 60, 0, lambdastore, 2, 300, 66921.646, 3.918, 3.622, 9.976, 0.08
231019-151640, 60, 50, lambdastore, 2, 300, 11226.461, 29.255, 5.403, 456.753, 0.081
231019-151835, 60, 0, lambdastore, 3, 300, 67620.342, 3.971, 3.699, 10.219, 0.082
231019-152006, 60, 50, lambdastore, 3, 300, 8488.334, 41.405, 6.568, 654.031, 0.135
231019-152218, 60, 0, lambdastore, 4, 300, 65956.991, 4.11, 3.721, 11.754, 0.083
231019-152347, 60, 50, lambdastore, 4, 300, 11093.807, 36.062, 5.236, 618.576, 0.083
