# command: ./benchmark.py toml experiments/micro-object-partitioning.toml
# constants: num-client-machines=5 num-compute-nodes=0 replica-set-size=3 distribution=uniform num-objects=1 transfer-chance=50 objects-per-transaction=1 operations-per-object=10 num-txns=1000 num-shards=1 partition-test=False load-balance=False use-light-replicas=False entries-per-object=1000 entry-size=1024 execution-mode=all-replicas load-balancing-policy=always-migrate workload=object-partitioning num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=50 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup worker-type=lambdastore guard-creation-chance=10 scale-factor=50 reuse-vms=True
# ----------------------------- 
uid, client-multiply, num-guards, write-chance, num-clients, num-server-nodes, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime, abort-share
240202-213705, 50, 1, 0, 250, 3, 46081.067, 3.897, 3.19, 11.532, 0.374, 0.0
240202-213744, 100, 1, 0, 500, 3, 61818.219, 6.751, 5.84, 19.948, 0.346, 0.0
240202-213830, 150, 1, 0, 750, 3, 75412.491, 7.761, 6.982, 20.602, 0.391, 0.0
240202-213917, 200, 1, 0, 1000, 3, 77568.852, 10.608, 9.88, 26.519, 0.422, 0.0
240202-214013, 250, 1, 0, 1250, 3, 84115.251, 12.344, 11.105, 32.22, 0.472, 0.0
240202-214111, 300, 1, 0, 1500, 3, 83984.413, 17.213, 16.104, 34.359, 0.498, 0.0
240202-214216, 350, 1, 0, 1750, 3, 84396.196, 21.879, 19.798, 53.052, 0.547, 0.0
240202-214325, 400, 1, 0, 2000, 3, 85498.22, 23.54, 22.306, 54.68, 0.571, 0.0
240202-214441, 450, 1, 0, 2250, 3, 83867.624, 26.171, 25.492, 59.874, 0.606, 0.0
240202-214602, 500, 1, 0, 2500, 3, 84731.494, 28.995, 27.232, 57.231, 0.624, 0.0
240202-214728, 50, 10, 0, 250, 3, 49239.328, 3.79, 3.054, 12.09, 0.0, nan
240202-214821, 100, 10, 0, 500, 3, 65418.762, 7.095, 5.477, 23.831, 0.336, 0.0
240202-214907, 150, 10, 0, 750, 3, 74856.921, 10.196, 8.818, 30.028, 0.393, 0.0
240202-215013, 200, 10, 0, 1000, 3, 79530.661, 11.107, 10.054, 28.749, 0.423, 0.0
240202-215149, 250, 10, 0, 1250, 3, 81483.094, 13.717, 12.716, 29.637, 0.456, 0.0
240202-215355, 300, 10, 0, 1500, 3, 83154.121, 14.501, 13.49, 32.352, 0.496, 0.0
240202-215532, 350, 10, 0, 1750, 3, 84743.932, 19.964, 18.104, 50.509, 0.53, 0.0
240202-215642, 400, 10, 0, 2000, 3, 84815.073, 23.272, 21.658, 56.892, 0.574, 0.0
240202-215757, 450, 10, 0, 2250, 3, 83307.243, 28.758, 25.619, 76.336, 0.611, 0.0
240202-215920, 500, 10, 0, 2500, 3, 80921.339, 30.658, 29.816, 62.505, 0.653, 0.0
240202-220052, 50, 100, 0, 250, 3, 46173.037, 4.125, 3.504, 11.838, 0.0, nan
240202-220144, 100, 100, 0, 500, 3, 66890.003, 6.107, 5.052, 17.283, 0.34, 0.0
240202-220229, 150, 100, 0, 750, 3, 70436.232, 9.845, 8.805, 27.337, 0.377, 0.0
240202-220319, 200, 100, 0, 1000, 3, 79348.83, 12.608, 11.125, 33.643, 0.412, 0.0
240202-220414, 250, 100, 0, 1250, 3, 85791.311, 13.464, 12.56, 31.44, 0.462, 0.0
240202-220512, 300, 100, 0, 1500, 3, 84895.688, 16.78, 15.748, 35.391, 0.491, 0.0
240202-220616, 350, 100, 0, 1750, 3, 84892.407, 19.905, 19.2, 44.47, 0.538, 0.0
240202-220727, 400, 100, 0, 2000, 3, 86026.148, 22.018, 21.127, 45.696, 0.585, 0.0
240202-220842, 450, 100, 0, 2250, 3, 83458.308, 24.686, 23.684, 56.519, 0.6, 0.0
240202-221004, 500, 100, 0, 2500, 3, 80719.706, 28.808, 28.146, 58.864, 0.653, 0.0
240202-221135, 50, 1000, 0, 250, 3, 51007.878, 3.855, 3.436, 10.031, 0.0, nan
240202-221227, 100, 1000, 0, 500, 3, 64278.849, 6.664, 5.67, 19.755, 0.349, 0.0
240202-221310, 150, 1000, 0, 750, 3, 74245.593, 8.731, 7.364, 26.163, 0.39, 0.0
240202-221359, 200, 1000, 0, 1000, 3, 78555.031, 9.1, 8.213, 22.021, 0.432, 0.0
240202-221453, 250, 1000, 0, 1250, 3, 84348.329, 15.226, 14.204, 42.784, 0.446, 0.0
240202-221552, 300, 1000, 0, 1500, 3, 87312.63, 14.168, 12.812, 33.868, 0.493, 0.0
240202-221656, 350, 1000, 0, 1750, 3, 87971.101, 18.993, 17.868, 47.517, 0.534, 0.0
240202-221804, 400, 1000, 0, 2000, 3, 85018.361, 21.23, 20.028, 51.559, 0.569, 0.0
240202-221921, 450, 1000, 0, 2250, 3, 83554.201, 26.878, 25.484, 56.718, 0.614, 0.0
240202-222046, 500, 1000, 0, 2500, 3, 81948.551, 31.418, 29.426, 73.661, 0.64, 0.0
240202-223331, 10, 1, 0, 50, 3, 8266.294, 2.805, 2.732, 4.695, 0.313, 0.0
240202-223410, 20, 1, 0, 100, 3, 21920.686, 3.26, 2.866, 10.627, 0.311, 0.0
240202-223447, 30, 1, 0, 150, 3, 34884.926, 3.077, 2.808, 6.593, 0.269, 0.0
240202-223523, 40, 1, 0, 200, 3, 40688.5, 3.378, 2.97, 8.706, 0.294, 0.0
240202-223601, 60, 1, 0, 300, 3, 49686.697, 4.317, 3.662, 10.107, 0.351, 0.0
240202-223642, 70, 1, 0, 350, 3, 57694.837, 4.467, 3.674, 12.952, 0.36, 0.0
240202-223723, 80, 1, 0, 400, 3, 59318.333, 4.991, 4.133, 15.126, 0.318, 0.0
240202-223805, 90, 1, 0, 450, 3, 60203.888, 5.561, 5.09, 14.748, 0.335, 0.0
240202-223852, 110, 1, 0, 550, 3, 65435.346, 6.672, 5.84, 16.017, 0.355, 0.0
240202-223937, 120, 1, 0, 600, 3, 69716.483, 8.127, 7.267, 18.013, 0.363, 0.0
240202-224023, 130, 1, 0, 650, 3, 70141.746, 7.936, 7.028, 20.655, 0.367, 0.0
240202-224109, 140, 1, 0, 700, 3, 71136.715, 7.237, 6.433, 16.789, 0.368, 0.0
240202-224158, 160, 1, 0, 800, 3, 73836.36, 7.864, 6.962, 20.527, 0.394, 0.0
240202-225051, 50, 1, 100, 50, 3, 1788.057, 24.405, 16.48, 197.933, 0.401, 0.0
240202-225225, 100, 1, 100, 100, 3, 1918.841, 47.349, 21.916, 461.886, 0.39, 0.0
240202-225447, 150, 1, 100, 150, 3, 1986.764, 75.389, 29.17, 678.849, 0.388, 0.0
240202-225818, 200, 1, 100, 200, 3, 1997.053, 90.783, 34.038, 1064.973, 0.37, 0.0
240202-230922, 250, 1, 100, 250, 3, 1991.393, 133.238, 41.971, 1206.311, 0.368, 0.0
240202-234704, 50, 10, 100, 50, 3, 1616.709, 30.809, 16.945, 235.222, 0.408, 0.0
240202-234811, 100, 10, 100, 100, 3, 1845.22, 53.078, 24.048, 484.902, 0.394, 0.0
240202-234944, 150, 10, 100, 150, 3, 1940.052, 93.096, 31.192, 931.848, 0.382, 0.0
240202-235141, 200, 10, 100, 200, 3, 1957.25, 99.393, 34.522, 1057.037, 0.379, 0.0
240202-235404, 250, 10, 100, 250, 3, 1998.525, 126.477, 43.777, 1145.55, 0.361, 0.0
240203-131727, 10, 1, 100, 10, 3, 761.604, 9.854, 8.466, 32.018, 0.381, 0.0
240203-131813, 20, 1, 100, 20, 3, 1150.838, 12.38, 10.582, 31.347, 0.383, 0.0
240203-131904, 30, 1, 100, 30, 3, 1344.179, 21.399, 13.308, 146.045, 0.387, 0.0
240203-132003, 40, 1, 100, 40, 3, 1503.755, 27.578, 14.248, 269.012, 0.405, 0.0
240203-132521, 10, 10, 100, 10, 3, 739.777, 10.292, 8.18, 32.182, 0.377, 0.0
240203-132607, 20, 10, 100, 20, 3, 1109.746, 15.904, 10.832, 30.255, 0.386, 0.0
240203-132701, 30, 10, 100, 30, 3, 1381.669, 22.479, 12.508, 252.368, 0.396, 0.0
240203-133144, 10, 100, 100, 10, 3, 762.959, 15.131, 8.799, 148.697, 0.375, 0.0
