# command: ./benchmark.py toml experiments/bank.toml
# constants: num-client-machines=30 num-compute-nodes=0 replica-set-size=3 distribution=uniform num-objects=1000000 transfer-chance=10 objects-per-transaction=1 operations-per-object=10 num-txns=10000 use-light-replicas=False entries-per-object=1 entry-size=1024 write-chance=0 execution-mode=all-replicas load-balancing-policy=always-add-light-replica workload=bank num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=50 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup worker-type=lambdastore guard-creation-chance=10 scale-factor=50
# ----------------------------- 
uid, client-multiply, num-shards, num-clients, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime
231019-114841, 40, 2, 1200, 48559.166, 24.781, 18.689, 146.905, 1.627
231019-120429, 40, 4, 1200, 71109.916, 16.953, 10.5, 101.097, 1.235
231019-121315, 40, 8, 1200, 111435.425, 10.865, 6.716, 54.604, 0.615
231019-121957, 40, 12, 1200, 130380.031, 9.199, 5.539, 45.092, 0.436
231019-122559, 40, 16, 1200, 149422.219, 8.06, 4.821, 36.526, 0.254
231019-123135, 120, 2, 3600, 48148.916, 74.221, 37.397, 588.088, 34.444
231019-125934, 120, 4, 3600, 85508.685, 42.187, 24.368, 267.788, 4.976
231019-131631, 120, 8, 3600, 155084.255, 23.331, 15.147, 129.708, 2.362
231019-132714, 120, 12, 3600, 201691.899, 17.879, 10.277, 108.21, 1.646
231019-133608, 120, 16, 3600, 240961.54, 14.999, 9.463, 75.722, 1.28
231019-134405, 200, 2, 6000, 42329.655, 140.092, 30.94, 1584.911, 90.087
231019-143242, 200, 4, 6000, 81545.77, 72.729, 22.838, 545.158, 34.557
231019-145938, 200, 8, 6000, 164663.872, 36.36, 22.682, 220.261, 9.613
231019-151508, 200, 12, 6000, 222500.825, 26.797, 17.235, 149.635, 3.517
231019-152708, 200, 16, 6000, 268110.97, 22.043, 14.312, 117.441, 1.849
