# command: ./benchmark.py toml experiments/filesystem.toml
# constants: num-client-machines=5 replica-set-size=3 distribution=uniform num-objects=100000 transfer-chance=50 objects-per-transaction=1 operations-per-object=10 num-txns=500 partition-test=False load-balance=False use-light-replicas=False entries-per-object=1 entry-size=1024 write-chance=20 execution-mode=all-replicas load-balancing-policy=always-migrate workload=filesystem num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=50 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup guard-creation-chance=500 scale-factor=50 reuse-vms=True
# ----------------------------- 
uid, client-multiply, num-compute-nodes, num-shards, worker-type, num-clients, num-server-nodes, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime, abort-share
240201-195939, 20, 3, 2, ol-wasm, 100, 9, 8316.843, 25.889, 3.151, 129.549, 0.0, 0.0
240201-200036, 30, 3, 2, ol-wasm, 150, 9, 11987.708, 31.534, 3.822, 183.756, 0.0, 0.0
240201-200135, 40, 3, 2, ol-wasm, 200, 9, 14083.766, 36.937, 4.361, 205.715, 0.0, 0.0
240201-200236, 50, 3, 2, ol-wasm, 250, 9, 15912.145, 47.252, 5.754, 261.839, 0.0, 0.0
240201-203342, 60, 3, 2, ol-wasm, 300, 9, 20427.722, 29.717, 5.704, 243.395, 0.0, 0.0
240201-203455, 80, 3, 2, ol-wasm, 400, 9, 21236.437, 36.831, 7.419, 443.759, 0.0, 0.0
240201-203617, 100, 3, 2, ol-wasm, 500, 9, 22261.496, 48.438, 9.936, 566.572, 0.0, 0.0
240201-205936, 120, 3, 2, ol-wasm, 600, 9, 22401.597, 49.528, 13.076, 546.691, 0.0, 0.0
240201-210116, 140, 3, 2, ol-wasm, 700, 9, 22520.526, 52.639, 14.546, 550.363, 0.0, 0.0
240201-210304, 160, 3, 2, ol-wasm, 800, 9, 22843.542, 69.008, 15.37, 809.598, 0.0, 0.0
240202-091919, 150, 0, 4, lambdastore, 2250, 12, 242880.305, 18.403, 2.025, 309.255, 0.772, 0.0
240202-092013, 200, 0, 4, lambdastore, 3000, 12, 282467.523, 38.864, 1.908, 452.396, 0.625, 0.0
240202-092111, 250, 0, 4, lambdastore, 3750, 12, 315817.029, 65.441, 2.077, 755.658, 0.468, 0.0
240202-092208, 300, 0, 4, lambdastore, 4500, 12, 361119.228, 61.703, 1.962, 652.892, 0.386, 0.0
240202-092309, 350, 0, 4, lambdastore, 5250, 12, 369390.22, 60.435, 2.182, 689.003, 0.332, 0.0
240202-092414, 400, 0, 4, lambdastore, 6000, 12, 394024.093, 82.373, 2.337, 935.393, 0.301, 0.0
240202-092519, 450, 0, 4, lambdastore, 6750, 12, 423975.409, 81.934, 2.255, 877.181, 0.283, 0.0
240202-092627, 500, 0, 4, lambdastore, 7500, 12, 437390.634, 85.367, 2.904, 869.893, 0.269, 0.0
240202-092738, 550, 0, 4, lambdastore, 8250, 12, 461624.569, 111.067, 2.546, 1198.719, 0.266, 0.0
240202-092852, 600, 0, 4, lambdastore, 9000, 12, 472252.204, 110.884, 2.431, 1128.901, 0.235, 0.0
240202-093854, 650, 0, 4, lambdastore, 9750, 12, 479801.953, 113.826, 3.284, 1175.705, 0.257, 0.0
240202-094009, 700, 0, 4, lambdastore, 10500, 12, 485592.567, 130.062, 2.829, 1399.157, 0.233, 0.0
240202-094126, 750, 0, 4, lambdastore, 11250, 12, 491530.312, 138.241, 2.902, 1606.973, 0.235, 0.0
240202-094248, 800, 0, 4, lambdastore, 12000, 12, 497721.138, 131.777, 2.968, 1328.115, 0.23, 0.0
240202-094714, 850, 0, 4, lambdastore, 12750, 12, 515528.299, 144.778, 3.052, 1485.878, 0.229, 0.0
240202-094839, 900, 0, 4, lambdastore, 13500, 12, 517442.442, 164.715, 3.121, 1771.36, 0.262, 0.0
240210-071120, 20, 12, 4, ol-wasm, 300, 24, 9669.161, 298.122, 2.364, 3979.003, 0.0, 0.0
