# command: ./benchmark.py toml experiments/forum.toml
# constants: num-client-machines=5 replica-set-size=3 distribution=uniform num-objects=100000 transfer-chance=50 objects-per-transaction=1 operations-per-object=10 num-txns=500 partition-test=False load-balance=False use-light-replicas=False entries-per-object=1 entry-size=1024 write-chance=0 execution-mode=all-replicas load-balancing-policy=always-migrate workload=forum num-communities=1000 get-thread-chance=80 create-thread-chance=0 num-followers=50 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup guard-creation-chance=500 scale-factor=50 reuse-vms=True
# ----------------------------- 
uid, client-multiply, num-compute-nodes, num-shards, worker-type, num-clients, num-server-nodes, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime, abort-share
240131-204542, 25, 0, 2, lambdastore, 125, 6, 15179.256, 5.199, 3.854, 18.607, 0.06, 0.0
240131-212947, 50, 0, 2, lambdastore, 250, 6, 29192.514, 6.029, 3.992, 40.217, 0.0, nan
240131-213046, 75, 0, 2, lambdastore, 375, 6, 44792.863, 5.912, 4.009, 32.093, 0.0, nan
240131-213147, 100, 0, 2, lambdastore, 500, 6, 54838.38, 6.536, 4.414, 31.926, 0.0, nan
240131-213249, 125, 0, 2, lambdastore, 625, 6, 63188.493, 6.663, 4.767, 29.97, 0.0, nan
240131-214307, 50, 0, 4, lambdastore, 250, 12, 29002.077, 5.369, 3.781, 17.825, 4.588, 0.0
240131-222455, 100, 0, 4, lambdastore, 500, 12, 61515.632, 4.957, 3.462, 21.079, 0.0, nan
240131-222554, 150, 0, 4, lambdastore, 750, 12, 89123.521, 5.904, 3.356, 34.217, 0.0, nan
240131-222652, 200, 0, 4, lambdastore, 1000, 12, 111681.94, 7.992, 3.969, 70.25, 0.0, nan
240131-222752, 250, 0, 4, lambdastore, 1250, 12, 127815.571, 8.32, 4.332, 43.45, 0.0, nan
240131-222852, 300, 0, 4, lambdastore, 1500, 12, 139028.936, 8.911, 5.036, 49.685, 0.0, nan
240131-222953, 350, 0, 4, lambdastore, 1750, 12, 151126.07, 8.415, 5.124, 39.826, 0.0, nan
240131-223057, 400, 0, 4, lambdastore, 2000, 12, 158731.406, 13.46, 6.521, 112.107, 0.0, nan
240131-223200, 450, 0, 4, lambdastore, 2250, 12, 166554.016, 10.583, 6.733, 50.168, 0.079, 0.0
240131-223302, 500, 0, 4, lambdastore, 2500, 12, 175630.129, 13.52, 7.47, 61.18, 0.402, 0.0
240131-223407, 550, 0, 4, lambdastore, 2750, 12, 178535.749, 11.689, 7.166, 51.454, 0.548, 0.0
240131-223513, 600, 0, 4, lambdastore, 3000, 12, 185916.891, 12.677, 7.81, 57.803, 0.799, 0.0
240131-223620, 650, 0, 4, lambdastore, 3250, 12, 190566.317, 15.019, 8.96, 62.537, 0.983, 0.0
240131-223728, 700, 0, 4, lambdastore, 3500, 12, 195129.614, 14.719, 8.77, 65.546, 0.682, 0.0
240131-223837, 750, 0, 4, lambdastore, 3750, 12, 195575.313, 14.907, 9.059, 67.894, 1.154, 0.0
240131-223948, 800, 0, 4, lambdastore, 4000, 12, 201719.264, 16.316, 10.167, 70.129, 1.125, 0.0
240131-225157, 150, 0, 2, lambdastore, 750, 6, 69910.586, 8.561, 5.554, 42.708, 0.0, nan
240131-225301, 200, 0, 2, lambdastore, 1000, 6, 77255.974, 10.798, 6.857, 60.056, 0.163, 0.0
240131-225411, 250, 0, 2, lambdastore, 1250, 6, 89759.881, 10.642, 7.536, 50.294, 0.0, nan
240131-230211, 300, 0, 2, lambdastore, 1500, 6, 95508.798, 12.564, 8.264, 56.778, 0.2, 0.0
240131-230319, 350, 0, 2, lambdastore, 1750, 6, 101050.297, 15.896, 10.47, 73.952, 0.464, 0.0
240131-230427, 400, 0, 2, lambdastore, 2000, 6, 106782.877, 16.224, 11.016, 73.089, 0.674, 0.0
240131-231459, 450, 0, 2, lambdastore, 2250, 6, 114274.924, 15.107, 10.41, 81.923, 0.7, 0.0
240131-231612, 500, 0, 2, lambdastore, 2500, 6, 118254.722, 17.238, 12.002, 86.885, 1.306, 0.0
240131-231726, 550, 0, 2, lambdastore, 2750, 6, 122251.683, 18.279, 12.502, 87.758, 1.825, 0.0
240131-231846, 600, 0, 2, lambdastore, 3000, 6, 124130.854, 22.45, 14.48, 107.654, 1.624, 0.0
240131-233203, 650, 0, 2, lambdastore, 3250, 6, 123483.328, 22.841, 14.412, 110.038, 2.063, 0.0
240131-233323, 700, 0, 2, lambdastore, 3500, 6, 124440.745, 23.774, 16.488, 114.439, 2.132, 0.0
240131-233446, 750, 0, 2, lambdastore, 3750, 6, 124031.755, 26.931, 17.933, 135.202, 2.342, 0.0
240131-233612, 800, 0, 2, lambdastore, 4000, 6, 124383.539, 26.417, 18.584, 142.754, 2.526, 0.0
240131-234123, 900, 0, 4, lambdastore, 4500, 12, 207283.018, 17.435, 10.568, 77.058, 3.253, 0.0
240131-234238, 1000, 0, 4, lambdastore, 5000, 12, 209789.906, 18.42, 11.659, 91.22, 1.795, 0.0
240131-234354, 1100, 0, 4, lambdastore, 5500, 12, 213321.4, 20.615, 12.96, 97.684, 2.936, 0.0
240131-234512, 1200, 0, 4, lambdastore, 6000, 12, 219029.168, 22.532, 13.822, 108.387, 2.185, 0.0
240201-105212, 1300, 0, 4, lambdastore, 6500, 12, 222622.57, 23.515, 14.988, 118.245, 2.583, 0.0
240201-112724, 1400, 0, 4, lambdastore, 7000, 12, 226151.923, 26.692, 15.718, 130.127, 2.654, 0.0
240201-112848, 1500, 0, 4, lambdastore, 7500, 12, 232676.766, 28.789, 17.09, 145.311, 3.256, 0.0
240201-120157, 50, 0, 6, lambdastore, 250, 18, 30116.204, 4.856, 3.446, 16.211, 2.161, 0.0
240201-123422, 100, 0, 6, lambdastore, 500, 18, 54697.365, 5.895, 4.064, 19.691, 0.0, nan
240201-123525, 150, 0, 6, lambdastore, 750, 18, 84350.084, 6.163, 3.698, 37.269, 0.0, nan
240201-123628, 200, 0, 6, lambdastore, 1000, 18, 117407.282, 5.687, 3.278, 31.613, 0.0, nan
240201-123730, 250, 0, 6, lambdastore, 1250, 18, 137913.83, 6.437, 3.739, 34.413, 0.0, nan
240201-123830, 300, 0, 6, lambdastore, 1500, 18, 160722.689, 6.587, 3.899, 31.383, 0.0, nan
240201-123936, 350, 0, 6, lambdastore, 1750, 18, 156724.023, 6.886, 4.092, 36.137, 0.0, nan
240201-125544, 400, 0, 6, lambdastore, 2000, 18, 186119.207, 8.764, 4.688, 44.741, 0.0, nan
240201-125646, 600, 0, 6, lambdastore, 3000, 18, 226521.351, 10.33, 6.104, 43.165, 0.0, nan
