# command: ./benchmark.py toml experiments/microblog.toml
# constants: num-client-machines=15 replica-set-size=3 distribution=uniform num-objects=1000000 transfer-chance=50 objects-per-transaction=1 operations-per-object=10 num-txns=500 partition-test=False load-balance=False use-light-replicas=False entries-per-object=1 entry-size=1024 write-chance=10 execution-mode=all-replicas load-balancing-policy=always-migrate workload=microblog num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=20 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup guard-creation-chance=200 scale-factor=50 reuse-vms=True
# ----------------------------- 
uid, client-multiply, num-compute-nodes, num-shards, worker-type, num-clients, num-server-nodes, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime, abort-share
240202-155558, 50, 0, 4, lambdastore, 750, 12, 45089.621, 14.686, 7.328, 73.89, 0.119, 0.0
240202-170550, 100, 0, 4, lambdastore, 1500, 12, 78120.391, 13.766, 8.454, 89.909, 0.043, 0.0
240202-170714, 150, 0, 4, lambdastore, 2250, 12, 90652.755, 16.773, 10.104, 102.149, 0.456, 0.0
240202-170845, 200, 0, 4, lambdastore, 3000, 12, 99318.542, 21.267, 12.088, 132.047, 0.947, 0.0
240202-171021, 250, 0, 4, lambdastore, 3750, 12, 102465.886, 31.803, 19.48, 194.181, 1.484, 0.0
240210-001734, 40, 12, 4, ol-wasm, 600, 24, 20999.869, 23.522, 4.685, 278.099, 0.0, 0.0
240210-013101, 60, 12, 4, ol-wasm, 900, 24, 22663.343, 29.654, 6.108, 411.849, 0.0, 0.0
240210-013236, 80, 12, 4, ol-wasm, 1200, 24, 23507.804, 35.559, 8.282, 615.415, 0.0, 0.0
240210-032006, 50, 18, 6, ol-wasm, 750, 36, 32869.969, 13.826, 3.618, 167.672, 0.0, 0.0
240210-032152, 75, 18, 6, ol-wasm, 1125, 36, 38381.769, 21.69, 4.202, 257.243, 0.0, 0.0
240210-032357, 100, 18, 6, ol-wasm, 1500, 36, 31332.091, 28.061, 4.836, 375.954, 0.0, 0.0
240210-032619, 125, 18, 6, ol-wasm, 1875, 36, 37860.53, 58.134, 6.655, 650.59, 0.0, 0.0
240210-032837, 150, 18, 6, ol-wasm, 2250, 36, 32617.405, 34.33, 6.196, 513.965, 0.0, 0.0
240210-033103, 175, 18, 6, ol-wasm, 2625, 36, 33009.54, 186.25, 8.418, 3538.855, 0.0, 0.0
240210-033354, 200, 18, 6, ol-wasm, 3000, 36, 40929.511, 64.384, 10.301, 769.052, 0.0, 0.0
240210-033629, 225, 18, 6, ol-wasm, 3375, 36, 44832.447, 80.589, 10.338, 860.412, 0.0, 0.0
240210-033902, 250, 18, 6, ol-wasm, 3750, 36, 46373.101, 90.721, 12.753, 1207.568, 0.0, 0.0
240211-171003, 100, 12, 4, ol-wasm, 2000, 24, 32160.206, 48.221, 10.037, 627.78, 0.0, 0.0
