# command: ./benchmark.py toml experiments/retwis.toml
# constants: num-client-machines=30 client-multiply=200 num-compute-nodes=0 replica-set-size=3 distribution=uniform transfer-chance=50 objects-per-transaction=1 operations-per-object=10 num-txns=500 use-light-replicas=False entries-per-object=10 entry-size=1024 write-chance=10 execution-mode=all-replicas load-balancing-policy=always-add-light-replica workload=retwis num-communities=100 get-thread-chance=90 create-thread-chance=5 num-followers=10 enable-tracing=false storage-backend=rocks-db transaction-protocol=optimistic replication-scheme=primary-backup worker-type=lambdastore guard-creation-chance=10 scale-factor=50
# ----------------------------- 
uid, num-objects, num-shards, num-clients, throughput, latency-mean, latency-median, latency-99p, avg-job-runtime
231018-065751, 50000, 2, 6000, 2189.409, 2762.115, 25.731, 44856.417, 819.741
231018-075147, 100000, 2, 6000, 2822.036, 2157.213, 27.316, 30407.277, 741.004
231018-091218, 500000, 2, 6000, 6156.841, 769.867, 17.802, 13716.339, 223.507
231018-095033, 50000, 4, 6000, 3286.053, 1679.919, 17.798, 34020.55, 510.214
231018-102304, 100000, 4, 6000, 4274.982, 1032.355, 17.651, 15600.25, 454.075
231018-104758, 500000, 4, 6000, 9407.115, 572.525, 13.924, 10910.335, 79.789
231018-110825, 50000, 8, 6000, 4989.062, 787.888, 14.146, 12552.347, 251.502
231018-112859, 100000, 8, 6000, 7651.441, 688.345, 14.256, 10644.759, 273.211
231018-114358, 500000, 8, 6000, 15116.107, 291.173, 11.594, 3979.101, 26.551
231018-171925, 50000, 12, 6000, 6210.534, 632.721, 13.88, 9235.564, 275.409
231018-173716, 100000, 12, 6000, 10515.721, 354.73, 13.854, 5241.839, 208.988
231018-174839, 500000, 12, 6000, 20554.63, 244.743, 10.942, 3569.951, 28.323
231018-115912, 50000, 16, 6000, 9336.597, 482.061, 12.606, 6962.95, 208.355
231018-121144, 100000, 16, 6000, 12684.248, 281.615, 12.971, 4217.175, 207.465
231018-122153, 500000, 16, 6000, 28708.263, 139.917, 12.762, 1626.528, 22.459
